2024-01-14 18:01:01,0.54,4.14,8.01,151.99,143.64
2024-01-14 18:31:01,0.5,4.06,8.11,168.37,148.97
2024-01-14 19:01:01,0.505,4.02,8.1,143.03,144.29
2024-01-14 19:31:01,0.51,4.23,8.24,151.07,140.54
2024-01-14 20:01:01,0.51,4.52,8.14,155.89,149.91
2024-01-14 20:31:01,0.51,4.13,7.71,148.05,146.7
2024-01-14 21:01:01,0.53,4.04,7.82,155.42,148.73
2024-01-14 21:31:01,0.54,4.07,8.13,145.54,146.17
2024-01-14 22:01:01,0.56,4.44,7.56,150.73,151.17
2024-01-14 22:31:01,0.56,4.34,7.67,148.02,148.32
2024-01-14 23:01:01,0.56,4.33,7.96,148.31,147.77
2024-01-14 23:31:01,0.65,4.43,7.32,148.61,149.0
2024-01-15 00:01:01,0.645,4.95,7.24,145.18,143.76
2024-01-15 00:31:01,0.64,4.78,6.88,146.0,146.35
2024-01-15 01:01:01,0.67,5.05,8.28,154.71,150.11
2024-01-15 01:31:01,0.66,5.11,7.82,143.86,145.52
2024-01-15 02:01:01,0.66,5.1,8.28,141.37,142.47
2024-01-15 02:31:01,0.59,4.72,7.92,141.78,142.06
2024-01-15 03:01:01,0.6,4.74,6.62,137.55,139.18
2024-01-15 03:31:01,0.58,4.95,8.56,141.69,140.24
2024-01-15 04:01:01,0.54,4.39,6.71,134.55,135.66
2024-01-15 04:31:01,0.53,4.59,8.46,147.2,142.98
2024-01-15 05:01:01,0.51,4.41,8.65,148.82,146.69
2024-01-15 05:31:01,0.5,5.18,9.31,156.49,149.09
2024-01-15 06:01:01,0.44,5.05,7.24,144.25,145.92
2024-01-15 06:31:01,0.41,5.26,9.27,141.64,147.9
2024-01-15 07:01:01,0.41,5.01,9.24,145.43,145.81
2024-01-15 07:31:01,0.41,5.42,9.12,150.23,148.7
2024-01-15 08:01:01,0.38,5.05,9.05,156.68,145.55
2024-01-15 08:31:01,0.43,5.32,8.69,146.95,145.93
2024-01-15 09:01:01,0.42,5.03,8.84,160.22,152.41
2024-01-15 09:31:01,0.4,4.85,8.3,148.82,153.66
2024-01-15 10:01:01,0.44,4.78,8.13,149.34,147.92
2024-01-15 10:31:01,0.42,4.47,8.07,149.76,145.48
2024-01-15 11:01:01,0.45,4.39,7.59,153.38,147.89
2024-01-15 11:31:01,0.45,4.38,7.0,152.65,148.25
2024-01-15 12:01:01,0.5,4.44,7.14,150.69,146.45
2024-01-15 12:31:01,0.54,4.14,7.01,148.71,144.79
2024-01-15 13:01:01,0.54,3.97,6.94,153.95,142.53
2024-01-15 13:31:01,0.65,3.4,6.46,147.36,136.57
2024-01-15 14:01:01,0.74,3.3,6.48,145.87,133.75
2024-01-15 14:31:01,0.7349999999999999,3.47,5.29,131.24,128.08
2024-01-15 15:01:01,0.73,3.48,5.74,137.63,134.15
2024-01-15 15:31:01,0.7250000000000001,3.44,5.88,134.59,130.85
2024-01-15 16:01:01,0.72,3.36,6.07,131.42,132.57
2024-01-15 16:31:01,0.7,3.48,6.24,135.71,130.6
2024-01-15 17:01:01,0.66,3.64,6.69,134.66,132.12
2024-01-15 17:31:01,0.62,3.64,6.73,123.45,128.87
2024-01-15 18:01:01,0.62,3.61,6.96,132.23,132.76
2024-01-15 18:31:01,0.62,3.61,6.97,138.23,136.55
2024-01-15 19:01:01,0.635,3.89,7.14,143.11,136.48
2024-01-15 19:31:01,0.65,3.57,7.0,142.4,136.38
2024-01-15 20:01:01,0.64,3.57,5.91,137.14,134.24
2024-01-15 20:31:01,0.61,3.48,7.71,129.37,135.03
2024-01-15 21:01:01,0.6,3.43,7.56,129.63,134.01
2024-01-15 21:31:01,0.64,3.61,8.06,126.76,134.71
2024-01-15 22:01:01,0.68,3.87,8.42,142.76,136.98
2024-01-15 22:31:01,0.76,3.95,8.35,138.0,134.9
2024-01-15 23:01:01,0.79,4.16,8.25,138.11,134.25
2024-01-15 23:31:01,0.8,4.38,8.88,142.29,136.32
2024-01-16 00:01:01,0.78,3.99,9.05,134.38,134.28
2024-01-16 00:31:01,0.89,4.79,8.92,137.66,131.93
2024-01-16 01:01:01,0.855,5.15,9.35,133.34,132.5
2024-01-16 01:31:01,0.82,4.62,8.03,132.53,129.68
2024-01-16 02:01:01,0.91,4.75,9.17,130.87,129.73
2024-01-16 02:31:01,0.9,4.63,8.9,135.59,132.56
2024-01-16 03:01:01,0.89,4.64,8.9,137.13,134.89
2024-01-16 03:31:01,0.87,4.58,8.75,127.34,128.72
2024-01-16 04:01:01,0.87,4.82,8.78,131.47,130.24
2024-01-16 04:31:01,0.81,4.92,8.62,132.73,131.81
2024-01-16 05:01:01,0.84,5.22,9.1,130.69,131.4
2024-01-16 05:31:01,0.75,5.06,9.03,139.83,137.82
2024-01-16 06:01:01,0.72,4.95,9.47,140.38,138.83
2024-01-16 06:31:01,0.65,4.94,9.25,141.91,135.41
2024-01-16 07:01:01,0.62,5.06,9.03,139.88,138.96
2024-01-16 07:31:01,0.63,5.03,9.43,139.71,138.63
2024-01-16 08:01:01,0.625,4.52,8.98,142.48,138.65
2024-01-16 08:31:01,0.62,4.89,9.31,140.01,141.71
2024-01-16 09:01:01,0.65,4.81,9.15,141.73,140.37
2024-01-16 09:31:01,0.64,4.76,9.05,137.8,136.61
2024-01-16 10:01:01,0.63,4.67,8.67,146.37,143.28
2024-01-16 10:31:01,0.69,4.83,9.44,146.86,144.0
2024-01-16 11:01:01,0.73,4.8,9.09,140.4,140.24
2024-01-16 11:31:01,0.69,4.57,8.91,143.3,134.07
2024-01-16 12:01:01,0.75,4.63,9.1,141.22,140.35
2024-01-16 12:31:01,0.84,5.02,7.88,140.52,136.58
2024-01-16 13:01:01,0.885,4.81,8.04,140.54,137.02
2024-01-16 13:31:01,0.93,5.04,8.89,142.02,138.6
2024-01-16 14:01:01,0.89,5.02,9.26,137.09,134.89
2024-01-16 14:31:01,0.94,4.9,8.61,138.68,134.04
2024-01-16 15:01:01,0.92,4.34,9.17,134.6,130.38
2024-01-16 15:31:01,0.94,3.99,8.58,134.11,130.33
2024-01-16 16:01:01,0.89,3.93,8.11,134.15,132.08
2024-01-16 16:31:01,0.885,3.9,8.68,130.26,129.51
2024-01-16 17:01:01,0.88,3.85,8.75,132.59,130.35
2024-01-16 17:31:01,0.83,3.85,8.46,133.1,132.54
2024-01-16 18:01:01,0.81,4.14,8.94,132.51,133.21
2024-01-16 18:31:01,0.76,4.22,8.67,140.89,139.83
2024-01-16 19:01:01,0.69,4.05,8.57,129.67,129.29
2024-01-16 19:31:01,0.73,4.29,8.39,137.04,131.53
2024-01-16 20:01:01,0.735,4.08,8.41,144.18,135.85
2024-01-16 20:31:01,0.74,4.37,8.53,142.46,135.8
2024-01-16 21:01:01,0.69,4.22,9.13,132.25,131.01
2024-01-16 21:31:01,0.71,4.21,8.59,140.9,135.4
2024-01-16 22:01:01,0.7,4.54,8.5,140.56,136.64
2024-01-16 22:31:01,0.77,4.63,9.01,143.22,138.88
2024-01-16 23:01:01,0.75,4.46,8.51,139.75,137.2
2024-01-16 23:31:01,0.79,4.72,8.6,139.81,136.84
2024-01-17 00:01:01,0.75,5.03,9.02,143.64,135.53
2024-01-17 00:31:01,0.82,5.3,8.93,141.32,136.5
2024-01-17 01:01:01,0.87,5.27,9.07,139.2,134.74
2024-01-17 01:31:01,0.92,5.16,8.81,136.34,135.14
2024-01-17 02:01:01,0.9,5.49,8.68,141.05,137.92
2024-01-17 02:31:01,0.88,5.05,8.32,135.26,135.17
2024-01-17 03:01:01,0.885,5.39,9.08,139.14,135.48
2024-01-17 03:31:01,0.89,5.24,8.95,142.83,138.58
2024-01-17 04:01:01,0.77,4.78,8.97,139.72,137.1
2024-01-17 04:31:01,0.82,4.83,8.82,140.1,132.66
2024-01-17 05:01:01,0.79,5.01,8.4,136.38,136.12
2024-01-17 05:31:01,0.81,5.47,8.69,136.71,134.84
2024-01-17 06:01:01,0.71,5.27,8.71,135.06,137.11
2024-01-17 06:31:01,0.66,5.24,8.9,137.5,139.05
2024-01-17 07:01:01,0.63,5.04,9.58,149.11,144.2
2024-01-17 07:31:01,0.6,5.23,8.62,142.97,136.02
2024-01-17 08:01:01,0.57,5.28,9.17,147.37,141.55
2024-01-17 08:31:01,0.565,5.13,9.54,142.45,142.59
2024-01-17 09:01:01,0.56,5.25,9.56,144.86,143.03
2024-01-17 09:31:01,0.56,5.48,9.67,147.37,144.98
2024-01-17 10:01:01,0.62,5.6,9.27,146.94,148.76
